SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Городецкий район";"Лицо";"Послевузовское профессиональное";76
"Городецкий район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";279
"Городецкий район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";344
"Дальнеконстантиновский район";"Лицо";"Не указавшие образование";2159
"Дальнеконстантиновский район";"Лицо";"Начальное общее (начальное)";5438
"Дальнеконстантиновский район";"Лицо";"Основное общее (неполное среднее)";5043
"Дальнеконстантиновский район";"Лицо";"Среднее (полное) общее";5107
"Дальнеконстантиновский район";"Лицо";"Среднее профессиональное (среднее специальное)";4483
"Дальнеконстантиновский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";228
"Дальнеконстантиновский район";"Лицо";"Высшее профессиональное (высшее)";1965
"Дальнеконстантиновский район";"Лицо";"Послевузовское профессиональное";6
"Дальнеконстантиновский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";160
"Дальнеконстантиновский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";136
"Володарский район";"Лицо";"Не указавшие образование";4804
"Володарский район";"Лицо";"Начальное общее (начальное)";7568
"Володарский район";"Лицо";"Основное общее (неполное среднее)";8380
"Володарский район";"Лицо";"Среднее (полное) общее";12288
"Володарский район";"Лицо";"Среднее профессиональное (среднее специальное)";11633
"Володарский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";889
"Володарский район";"Лицо";"Высшее профессиональное (высшее)";5855
"Володарский район";"Лицо";"Послевузовское профессиональное";57
"Володарский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";188
"Володарский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";160
"Дивеевский район";"Лицо";"Не указавшие образование";1499
"Дивеевский район";"Лицо";"Начальное общее (начальное)";3474
"Дивеевский район";"Лицо";"Основное общее (неполное среднее)";3344
"Дивеевский район";"Лицо";"Среднее (полное) общее";3595
"Дивеевский район";"Лицо";"Среднее профессиональное (среднее специальное)";3412
"Дивеевский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";182
"Дивеевский район";"Лицо";"Высшее профессиональное (высшее)";1501
"Дивеевский район";"Лицо";"Послевузовское профессиональное";15
"Дивеевский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";108
"Дивеевский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";186
"Княгининский район";"Лицо";"Не указавшие образование";1211
"Княгининский район";"Лицо";"Начальное общее (начальное)";2363
"Княгининский район";"Лицо";"Основное общее (неполное среднее)";2661
"Княгининский район";"Лицо";"Среднее (полное) общее";2707
"Княгининский район";"Лицо";"Среднее профессиональное (среднее специальное)";2525
"Княгининский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";131
"Княгининский район";"Лицо";"Высшее профессиональное (высшее)";920
"Княгининский район";"Лицо";"Послевузовское профессиональное";7
"Княгининский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";102
"Княгининский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";64
"Ковернинский район";"Лицо";"Не указавшие образование";2093
"Ковернинский район";"Лицо";"Начальное общее (начальное)";5106
"Ковернинский район";"Лицо";"Основное общее (неполное среднее)";4652
"Ковернинский район";"Лицо";"Среднее (полное) общее";3992
"Ковернинский район";"Лицо";"Среднее профессиональное (среднее специальное)";3618
"Ковернинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";130
