SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Образование by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Образование","Наименование территориальной единицы",
"Лицо","Среднее (полное) общее","Отрадненский район",16548
"Лицо","Среднее (полное) общее","Павловский район",16300
"Лицо","Среднее (полное) общее","Приморско-Ахтарский район",14741
"Лицо","Среднее (полное) общее","Северский район",28618
"Лицо","Среднее (полное) общее","Славянский район",16536
"Лицо","Среднее (полное) общее","Староминский район",10370
"Лицо","Среднее (полное) общее","Тбилисский район",11746
"Лицо","Среднее (полное) общее","Темрюкский район",29578
"Лицо","Среднее (полное) общее","Тимашевский район",27700
"Лицо","Среднее (полное) общее","Тихорецкий район",14594
"Лицо","Среднее (полное) общее","Туапсинский район",16026
"Лицо","Среднее (полное) общее","Успенский район",10641
"Лицо","Среднее (полное) общее","Усть-Лабинский район",26149
"Лицо","Среднее (полное) общее","Щербиновский район",10151
"Лицо","Среднее (полное) общее","Города краевого подчинения Краснодарского края",0
"Лицо","Среднее (полное) общее","г. Краснодар",177523
"Лицо","Среднее (полное) общее","Сельские населенные пункты, подчиненные администрации г. Анапа",11785
"Лицо","Среднее (полное) общее","г. Армавир",48386
"Лицо","Среднее (полное) общее","г. Белореченск",15069
"Лицо","Среднее (полное) общее","г. Геленджик",19510
"Лицо","Среднее (полное) общее","г. Горячий Ключ",12021
"Лицо","Среднее (полное) общее","г. Ейск",18923
"Лицо","Среднее (полное) общее","г. Кропоткин",19079
"Лицо","Среднее (полное) общее","г. Крымск",10904
"Лицо","Среднее (полное) общее","Сельские населенные пункты, подчиненные администрации г. Лабинска",13169
"Лицо","Среднее (полное) общее","г. Новороссийск",63068
"Лицо","Среднее (полное) общее","г. Славянск-на-Кубани",13155
"Лицо","Среднее (полное) общее","г. Сочи",104131
"Лицо","Среднее (полное) общее","г. Тихорецк",14070
"Лицо","Среднее (полное) общее","г. Туапсе",12990
"Лицо","Среднее профессиональное (среднее специальное)","Краснодарский край",0
"Лицо","Среднее профессиональное (среднее специальное)","Районы Краснодарского края",0
"Лицо","Среднее профессиональное (среднее специальное)","Абинский район",20260
"Лицо","Среднее профессиональное (среднее специальное)","Анапский район",13173
"Лицо","Среднее профессиональное (среднее специальное)","Апшеронский район",18574
"Лицо","Среднее профессиональное (среднее специальное)","Белоглинский район",5639
"Лицо","Среднее профессиональное (среднее специальное)","Белореченский район",6126
"Лицо","Среднее профессиональное (среднее специальное)","Брюховецкий район",10077
"Лицо","Среднее профессиональное (среднее специальное)","Выселковский район",10478
"Лицо","Среднее профессиональное (среднее специальное)","Гулькевичский район",21752
"Лицо","Среднее профессиональное (среднее специальное)","Динской район",23199
"Лицо","Среднее профессиональное (среднее специальное)","Ейский район",8050
"Лицо","Среднее профессиональное (среднее специальное)","Кавказский район",7679
"Лицо","Среднее профессиональное (среднее специальное)","Калининский район",8396
"Лицо","Среднее профессиональное (среднее специальное)","Каневский район",20509
"Лицо","Среднее профессиональное (среднее специальное)","Кореновский район",16353
"Лицо","Среднее профессиональное (среднее специальное)","Красноармейский район",19249
"Лицо","Среднее профессиональное (среднее специальное)","Крыловский район",6994
"Лицо","Среднее профессиональное (среднее специальное)","Крымский район",12072
"Лицо","Среднее профессиональное (среднее специальное)","Курганинский район",19103
"Лицо","Среднее профессиональное (среднее специальное)","Кущевский район",12364
"Лицо","Среднее профессиональное (среднее специальное)","Лабинский район",6737
"Лицо","Среднее профессиональное (среднее специальное)","Ленинградский район",12922
"Лицо","Среднее профессиональное (среднее специальное)","Мостовский район",12924
"Лицо","Среднее профессиональное (среднее специальное)","Новокубанский район",16571
"Лицо","Среднее профессиональное (среднее специальное)","Новопокровский район",8742
"Лицо","Среднее профессиональное (среднее специальное)","Отрадненский район",9504
"Лицо","Среднее профессиональное (среднее специальное)","Павловский район",13454
"Лицо","Среднее профессиональное (среднее специальное)","Приморско-Ахтарский район",11483
"Лицо","Среднее профессиональное (среднее специальное)","Северский район",21165
"Лицо","Среднее профессиональное (среднее специальное)","Славянский район",11055
"Лицо","Среднее профессиональное (среднее специальное)","Староминский район",7583
"Лицо","Среднее профессиональное (среднее специальное)","Тбилисский район",9423
"Лицо","Среднее профессиональное (среднее специальное)","Темрюкский район",22448
"Лицо","Среднее профессиональное (среднее специальное)","Тимашевский район",19788
"Лицо","Среднее профессиональное (среднее специальное)","Тихорецкий район",10801
"Лицо","Среднее профессиональное (среднее специальное)","Туапсинский район",13718
"Лицо","Среднее профессиональное (среднее специальное)","Успенский район",7330
"Лицо","Среднее профессиональное (среднее специальное)","Усть-Лабинский район",23223
"Лицо","Среднее профессиональное (среднее специальное)","Щербиновский район",7367
"Лицо","Среднее профессиональное (среднее специальное)","Города краевого подчинения Краснодарского края",0
"Лицо","Среднее профессиональное (среднее специальное)","г. Краснодар",163233
"Лицо","Среднее профессиональное (среднее специальное)","Сельские населенные пункты, подчиненные администрации г. Анапа",15718
"Лицо","Среднее профессиональное (среднее специальное)","г. Армавир",53581
"Лицо","Среднее профессиональное (среднее специальное)","г. Белореченск",14127
"Лицо","Среднее профессиональное (среднее специальное)","г. Геленджик",20383
"Лицо","Среднее профессиональное (среднее специальное)","г. Горячий Ключ",10844
"Лицо","Среднее профессиональное (среднее специальное)","г. Ейск",26956
"Лицо","Среднее профессиональное (среднее специальное)","г. Кропоткин",20174
"Лицо","Среднее профессиональное (среднее специальное)","г. Крымск",15119
"Лицо","Среднее профессиональное (среднее специальное)","Сельские населенные пункты, подчиненные администрации г. Лабинска",15810
"Лицо","Среднее профессиональное (среднее специальное)","г. Новороссийск",70095
"Лицо","Среднее профессиональное (среднее специальное)","г. Славянск-на-Кубани",14954
"Лицо","Среднее профессиональное (среднее специальное)","г. Сочи",86701
"Лицо","Среднее профессиональное (среднее специальное)","г. Тихорецк",18631
"Лицо","Среднее профессиональное (среднее специальное)","г. Туапсе",16637
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Краснодарский край",0
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Районы Краснодарского края",0
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Абинский район",1304
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Анапский район",1113
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Апшеронский район",1395
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Белоглинский район",292
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Белореченский район",474
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Брюховецкий район",578
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Выселковский район",708
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Гулькевичский район",1354
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Динской район",2160
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Ейский район",503
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Кавказский район",506
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Калининский район",705
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Каневский район",1527
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Кореновский район",1074
"Лицо","Неполное высшее профессиональное (незаконченное высшее)","Красноармейский район",1479
