SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Образование"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Образование",
"Серпуховский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",132
"Солнечногорский район","Лицо","Не указавшие образование",13172
"Солнечногорский район","Лицо","Начальное общее (начальное)",12173
"Солнечногорский район","Лицо","Основное общее (неполное среднее)",17271
"Солнечногорский район","Лицо","Среднее (полное) общее",24287
"Солнечногорский район","Лицо","Среднее профессиональное (среднее специальное)",28473
"Солнечногорский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",3837
"Солнечногорский район","Лицо","Высшее профессиональное (высшее)",21796
"Солнечногорский район","Лицо","Послевузовское профессиональное",493
"Солнечногорский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",192
"Солнечногорский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",153
"Ступинский район","Лицо","Не указавшие образование",9298
"Ступинский район","Лицо","Начальное общее (начальное)",13268
"Ступинский район","Лицо","Основное общее (неполное среднее)",20995
"Ступинский район","Лицо","Среднее (полное) общее",24687
"Ступинский район","Лицо","Среднее профессиональное (среднее специальное)",26700
"Ступинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",2484
"Ступинский район","Лицо","Высшее профессиональное (высшее)",13650
"Ступинский район","Лицо","Послевузовское профессиональное",188
"Ступинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",204
"Ступинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",213
"Талдомский район","Лицо","Не указавшие образование",4202
"Талдомский район","Лицо","Начальное общее (начальное)",6698
"Талдомский район","Лицо","Основное общее (неполное среднее)",8498
"Талдомский район","Лицо","Среднее (полное) общее",11646
"Талдомский район","Лицо","Среднее профессиональное (среднее специальное)",9969
"Талдомский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",833
"Талдомский район","Лицо","Высшее профессиональное (высшее)",4044
"Талдомский район","Лицо","Послевузовское профессиональное",56
"Талдомский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",147
"Талдомский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",134
"Химкинский район","Лицо","Не указавшие образование",18595
"Химкинский район","Лицо","Начальное общее (начальное)",13287
"Химкинский район","Лицо","Основное общее (неполное среднее)",18909
"Химкинский район","Лицо","Среднее (полное) общее",31373
"Химкинский район","Лицо","Среднее профессиональное (среднее специальное)",37949
"Химкинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",6693
"Химкинский район","Лицо","Высшее профессиональное (высшее)",45977
"Химкинский район","Лицо","Послевузовское профессиональное",1076
"Химкинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",289
"Химкинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",112
"Чеховский район","Лицо","Не указавшие образование",10652
"Чеховский район","Лицо","Начальное общее (начальное)",10835
"Чеховский район","Лицо","Основное общее (неполное среднее)",14420
"Чеховский район","Лицо","Среднее (полное) общее",19248
"Чеховский район","Лицо","Среднее профессиональное (среднее специальное)",28884
"Чеховский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",2821
"Чеховский район","Лицо","Высшее профессиональное (высшее)",16821
"Чеховский район","Лицо","Послевузовское профессиональное",289
"Чеховский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",380
"Чеховский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",201
"Шатурский район","Лицо","Не указавшие образование",9169
