SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Материал наружных стен дома by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Материал наружных стен дома","Наименование территориальной единицы",
"Лицо","Дерево","Нижнешиловский сельский округ",2135
"Лицо","Дерево","Сельские округа, подчиненные администрации Лазаревского района г. Сочи",0
"Лицо","Дерево","Верхнелооский сельский округ",1189
"Лицо","Дерево","Волковский сельский округ",1184
"Лицо","Дерево","Кировский сельский округ",466
"Лицо","Дерево","Кичмайский сельский округ",493
"Лицо","Дерево","Лыготхский сельский округ",833
"Лицо","Дерево","Солохаульский сельский округ",598
"Лицо","Дерево","Сельские округа, подчиненные администрации Хостинского района г. Сочи",0
"Лицо","Дерево","Барановский сельский округ",396
"Лицо","Дерево","Раздольский сельский округ",1039
"Лицо","Смешанный материал","г. Сочи",0
"Лицо","Смешанный материал","Населенные пункты, подчиненные администрации Адлерского района г.Сочи",0
"Лицо","Смешанный материал","Населенные пункты, подчиненные администрации Лазаревского района г.Сочи",0
"Лицо","Смешанный материал","Населенные пункты, подчиненные администрации Хостинского района г.Сочи",0
"Лицо","Смешанный материал","г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Смешанный материал","пгт. Красная Поляна с подчиненными его администрации населенными пунктами, находящийся в подчинении администрации Адлерского района г. Сочи",0
"Лицо","Смешанный материал","Адлерский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Смешанный материал","Лазаревский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Смешанный материал","Хостинский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Смешанный материал","г. Сочи с подчиненными непосредственно администрациям его районов населенными пунктами",0
"Лицо","Смешанный материал","Районы г. Сочи",0
"Лицо","Смешанный материал","Адлерский район",7958
"Лицо","Смешанный материал","Лазаревский район",7072
"Лицо","Смешанный материал","Хостинский район",4831
"Лицо","Смешанный материал","Центральный район",8272
"Лицо","Смешанный материал","Адлерский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Смешанный материал","Лазаревский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Смешанный материал","Хостинский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Смешанный материал","Поселки городского типа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Смешанный материал","Сельские населенные пункты, подчиненные администрации пгт. Красная Поляна, находящегося в подчинении администрации Адлерского района г. Сочи",466
"Лицо","Смешанный материал","Населенные пункты, подчиненные администрации г. Сочи",0
"Лицо","Смешанный материал","Сельские округа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Смешанный материал","Кудепстинский сельский округ",627
"Лицо","Смешанный материал","Молдовский сельский округ",1808
"Лицо","Смешанный материал","Нижнешиловский сельский округ",1606
"Лицо","Смешанный материал","Сельские округа, подчиненные администрации Лазаревского района г. Сочи",0
"Лицо","Смешанный материал","Верхнелооский сельский округ",780
"Лицо","Смешанный материал","Волковский сельский округ",927
"Лицо","Смешанный материал","Кировский сельский округ",28
"Лицо","Смешанный материал","Кичмайский сельский округ",280
"Лицо","Смешанный материал","Лыготхский сельский округ",49
"Лицо","Смешанный материал","Солохаульский сельский округ",27
"Лицо","Смешанный материал","Сельские округа, подчиненные администрации Хостинского района г. Сочи",0
"Лицо","Смешанный материал","Барановский сельский округ",847
"Лицо","Смешанный материал","Раздольский сельский округ",1417
"Лицо","Другой материал","г. Сочи",0
"Лицо","Другой материал","Населенные пункты, подчиненные администрации Адлерского района г.Сочи",0
"Лицо","Другой материал","Населенные пункты, подчиненные администрации Лазаревского района г.Сочи",0
"Лицо","Другой материал","Населенные пункты, подчиненные администрации Хостинского района г.Сочи",0
"Лицо","Другой материал","г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Другой материал","пгт. Красная Поляна с подчиненными его администрации населенными пунктами, находящийся в подчинении администрации Адлерского района г. Сочи",0
"Лицо","Другой материал","Адлерский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Другой материал","Лазаревский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Другой материал","Хостинский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Другой материал","г. Сочи с подчиненными непосредственно администрациям его районов населенными пунктами",0
"Лицо","Другой материал","Районы г. Сочи",0
"Лицо","Другой материал","Адлерский район",1078
"Лицо","Другой материал","Лазаревский район",1810
"Лицо","Другой материал","Хостинский район",603
"Лицо","Другой материал","Центральный район",1239
"Лицо","Другой материал","Адлерский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Другой материал","Лазаревский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Другой материал","Хостинский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Другой материал","Поселки городского типа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Другой материал","Сельские населенные пункты, подчиненные администрации пгт. Красная Поляна, находящегося в подчинении администрации Адлерского района г. Сочи",50
"Лицо","Другой материал","Населенные пункты, подчиненные администрации г. Сочи",0
"Лицо","Другой материал","Сельские округа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Другой материал","Кудепстинский сельский округ",160
"Лицо","Другой материал","Молдовский сельский округ",152
"Лицо","Другой материал","Нижнешиловский сельский округ",148
"Лицо","Другой материал","Сельские округа, подчиненные администрации Лазаревского района г. Сочи",0
"Лицо","Другой материал","Верхнелооский сельский округ",134
"Лицо","Другой материал","Волковский сельский округ",92
"Лицо","Другой материал","Кировский сельский округ",0
"Лицо","Другой материал","Кичмайский сельский округ",32
"Лицо","Другой материал","Лыготхский сельский округ",0
"Лицо","Другой материал","Солохаульский сельский округ",0
"Лицо","Другой материал","Сельские округа, подчиненные администрации Хостинского района г. Сочи",0
"Лицо","Другой материал","Барановский сельский округ",22
"Лицо","Другой материал","Раздольский сельский округ",590


"INFO","К значениям в таблице был применен  механизм защиты конфиденциальной информации."




(c) Copyright Space-Time Research 2013
