SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Пудожский район";"Лицо";"Среднее профессиональное (среднее специальное)";5018
"Пудожский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";154
"Пудожский район";"Лицо";"Высшее профессиональное (высшее)";1156
"Пудожский район";"Лицо";"Послевузовское профессиональное";0
"Пудожский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";145
"Пудожский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";136
"Сегежский район";"Лицо";"Не указавшие образование";1291
"Сегежский район";"Лицо";"Начальное общее (начальное)";2268
"Сегежский район";"Лицо";"Основное общее (неполное среднее)";2950
"Сегежский район";"Лицо";"Среднее (полное) общее";3092
"Сегежский район";"Лицо";"Среднее профессиональное (среднее специальное)";2643
"Сегежский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";95
"Сегежский район";"Лицо";"Высшее профессиональное (высшее)";812
"Сегежский район";"Лицо";"Послевузовское профессиональное";17
"Сегежский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";80
"Сегежский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";62
"Суоярвский район";"Лицо";"Не указавшие образование";2283
"Суоярвский район";"Лицо";"Начальное общее (начальное)";4000
"Суоярвский район";"Лицо";"Основное общее (неполное среднее)";4972
"Суоярвский район";"Лицо";"Среднее (полное) общее";5295
"Суоярвский район";"Лицо";"Среднее профессиональное (среднее специальное)";4745
"Суоярвский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";181
"Суоярвский район";"Лицо";"Высшее профессиональное (высшее)";1455
"Суоярвский район";"Лицо";"Послевузовское профессиональное";11
"Суоярвский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";116
"Суоярвский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";109
"Города республиканского подчинения Республики Карелия";"Лицо";"Не указавшие образование";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Начальное общее (начальное)";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Основное общее (неполное среднее)";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Среднее (полное) общее";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Среднее профессиональное (среднее специальное)";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Высшее профессиональное (высшее)";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Послевузовское профессиональное";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";0
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Не указавшие образование";24479
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Начальное общее (начальное)";25707
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Основное общее (неполное среднее)";33599
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Среднее (полное) общее";52165
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Среднее профессиональное (среднее специальное)";68312
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";8639
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Высшее профессиональное (высшее)";48881
