"","region","year","value","age"
"375","Егорьевский район",1908,0.0230537886805898,94
"376","Зарайский район",1908,0.0333977432667764,94
"377","Истринский район",1908,0.0243840841599248,94
"378","Каширский район",1908,0.0129126673266474,94
"379","Клинский район",1908,0.0181697528913607,94
"380","Коломенский район",1908,0.0224949386388063,94
"381","Красногорский район",1908,0.0156322214066281,94
"382","Ленинский район",1908,0.0170115040296,94
"383","Лотошинский район",1908,0.0447127207690588,94
"384","Луховицкий район",1908,0.0368141366284653,94
"385","Люберецкий район",1908,0.0122182895971118,94
"386","Можайский район",1908,0.0196829530485866,94
"387","Мытищинский район",1908,0.0223134109041829,94
"388","Наро-Фоминский район",1908,0.0107388923115183,94
"389","Ногинский район",1908,0.0210972318673687,94
"390","Одинцовский район",1908,0.015940873849721,94
"391","Озёрский район",1908,0.025357112670104,94
"392","Орехово-Зуевский район",1908,0.024476704929102,94
"393","Павлово-Посадский район",1908,0.0304992030853387,94
"394","пгт. Восход",1908,NA,94
"395","пгт. Молодёжный",1908,NA,94
"396","пгт. Приокск",1908,NA,94
"397","Подольский район",1908,0.0312544765526312,94
"398","Пушкинский район",1908,0.0287263008018385,94
"399","Раменский район",1908,0.0287808523774377,94
"400","Рузский район",1908,0.030350952860178,94
"401","Сельские населенные пункты, подчиненные администрации г. Звенигород",1908,NA,94
"402","Сельские населенные пункты, подчиненные администрации г. Королёв",1908,0.0236366107463851,94
"403","Сельские населенные пункты, подчиненные администрации г. Щербинка",1908,0.0251871042026482,94
"404","Сергиево-Посадский район",1908,0.0158910930423498,94
"405","Серебряно-Прудский район",1908,0.0406669377795852,94
"406","Серпуховский район",1908,0.0150380462570303,94
"407","Солнечногорский район",1908,0.0148328828531874,94
"408","Ступинский район",1908,0.0331814757685547,94
"409","Талдомский район",1908,0.0259920291110726,94
"410","Химкинский район",1908,0.0168144209751205,94
"411","Чеховский район",1908,0.0201705855232826,94
"412","Шатурский район",1908,0.0128055547650892,94
"413","Шаховской район",1908,0.0392122690833043,94
"414","Щёлковский район",1908,0.0180104460587141,94
"415","Балашихинский район",1909,0.0206663758065627,93
"416","Волоколамский район",1909,0.0369594677836639,93
"417","Воскресенский район",1909,0.0264279343265832,93
"418","г. Бронницы",1909,NA,93
"419","г. Дзержинский",1909,0.0266182698124622,93
"420","г. Долгопрудный",1909,0.018945801475066,93
"421","г. Дубна",1909,0.0280379997361129,93
"422","г. Железнодорожный",1909,0.033728964976572,93
"423","г. Жуковский",1909,0.0170657029563821,93
"424","г. Ивантеевка",1909,0.0234686693264492,93
"425","г. Климовск",1909,0.0110162489672267,93
"426","г. Коломна",1909,0.0358403176003529,93
"427","г. Красноармейск",1909,0.0386548125241593,93
"428","г. Краснознаменск",1909,0.0146140075262139,93
"429","г. Лобня",1909,0.0232991612301957,93
"430","г. Лыткарино",1909,0.0178030977390066,93
"431","г. Орехово-Зуево",1909,0.017387560442472,93
"432","г. Подольск",1909,0.0212296432861253,93
"433","г. Протвино",1909,NA,93
"434","г. Пущино",1909,0.0351988736360436,93
"435","г. Реутов",1909,0.0145040281641856,93
"436","г. Рошаль",1909,0.0314437157488096,93
"437","г. Серпухов",1909,0.0306240233684855,93
"438","г. Троицк",1909,0.0337340529931305,93
"439","г. Фрязино",1909,0.0306854359249741,93
"440","г. Электросталь",1909,0.0138320239017373,93
"441","г. Юбилейный",1909,0.032536196518627,93
"442","Дмитровский район",1909,0.0309981401115933,93
"443","Домодедовский район",1909,0.0264102669912929,93
"444","Егорьевский район",1909,0.0482033763321422,93
"445","Зарайский район",1909,0.0453255087191965,93
"446","Истринский район",1909,0.026996664605631,93
"447","Каширский район",1909,0.0329990387236546,93
"448","Клинский район",1909,0.0292296024774063,93
"449","Коломенский район",1909,0.0499887525306806,93
"450","Красногорский район",1909,0.0251474866106625,93
"451","Ленинский район",1909,0.0276436940481,93
"452","Лотошинский район",1909,0.0447127207690588,93
"453","Луховицкий район",1909,0.041615980536526,93
"454","Люберецкий район",1909,0.0137948430935133,93
"455","Можайский район",1909,0.0393659060971732,93
"456","Мытищинский район",1909,0.0250345585754248,93
"457","Наро-Фоминский район",1909,0.0226081943400385,93
"458","Ногинский район",1909,0.0285691681537285,93
"459","Одинцовский район",1909,0.0217375552496196,93
"460","Озёрский район",1909,0.0140872848167244,93
"461","Орехово-Зуевский район",1909,0.0270087778528022,93
"462","Павлово-Посадский район",1909,0.0314830483461561,93
"463","пгт. Восход",1909,NA,93
"464","пгт. Молодёжный",1909,NA,93
"465","пгт. Приокск",1909,NA,93
"466","Подольский район",1909,0.0130226985635963,93
"467","Пушкинский район",1909,0.0443384208028377,93
"468","Раменский район",1909,0.0273882304882068,93
"469","Рузский район",1909,0.0175716042874714,93
"470","Сельские населенные пункты, подчиненные администрации г. Звенигород",1909,0.0570939194975735,93
"471","Сельские населенные пункты, подчиненные администрации г. Королёв",1909,0.0260002718210236,93
"472","Сельские населенные пункты, подчиненные администрации г. Щербинка",1909,0.0323834196891192,93
"473","Сергиево-Посадский район",1909,0.0282508320752885,93
"474","Серебряно-Прудский район",1909,0.0406669377795852,93
"475","Серпуховский район",1909,0.0270684832626545,93
"476","Солнечногорский район",1909,0.0156569319005867,93
"477","Ступинский район",1909,0.0278006959141945,93
"478","Талдомский район",1909,0.0649800727776815,93
"479","Химкинский район",1909,0.0284105733717553,93
"480","Чеховский район",1909,0.0220915936683572,93
"481","Шатурский район",1909,0.0469537008053271,93
"482","Шаховской район",1909,0.0522830254444057,93
"483","Щёлковский район",1909,0.0290168297612615,93
"484","Балашихинский район",1910,0.0344439596776045,92
"485","Волоколамский район",1910,0.057492505441255,92
"486","Воскресенский район",1910,0.0475702817878498,92
"487","г. Бронницы",1910,0.0438764876871606,92
"488","г. Дзержинский",1910,0.0508166969147005,92
"489","г. Долгопрудный",1910,0.0230056160768658,92
"490","г. Дубна",1910,0.0379337643488587,92
"491","г. Железнодорожный",1910,0.0319057776805411,92
"492","г. Жуковский",1910,0.050193243989359,92
"493","г. Ивантеевка",1910,0.0430258937651568,92
"494","г. Климовск",1910,0.03304874690168,92
"495","г. Коломна",1910,0.0613420820467578,92
"496","г. Красноармейск",1910,0.0734441437959026,92
"497","г. Краснознаменск",1910,0.0292280150524278,92
"498","г. Лобня",1910,0.0388319353836595,92
"499","г. Лыткарино",1910,0.0316499515360117,92
"500","г. Орехово-Зуево",1910,0.046366827846592,92
"501","г. Подольск",1910,0.0474873599821224,92
"502","г. Протвино",1910,0.0249473334072514,92
"503","г. Пущино",1910,0.0402272841554785,92
"504","г. Реутов",1910,0.0303266043432972,92
"505","г. Рошаль",1910,0.0404276345341838,92
"506","г. Серпухов",1910,0.0526105016843213,92
"507","г. Троицк",1910,0.0552011776251227,92
"508","г. Фрязино",1910,0.032603275670285,92
"509","г. Электросталь",1910,0.0269724466083877,92
"510","г. Юбилейный",1910,0.0357898161704897,92
"511","Дмитровский район",1910,0.0495970241785493,92
"512","Домодедовский район",1910,0.0404407213304172,92
"513","Егорьевский район",1910,0.0482033763321422,92
"514","Зарайский район",1910,0.0548677210811327,92
"515","Истринский район",1910,0.0426721472798683,92
"516","Каширский район",1910,0.047346446864374,92
"517","Клинский район",1910,0.0402894520634519,92
"518","Коломенский район",1910,0.0699842535429528,92
"519","Красногорский район",1910,0.0360220754152734,92
"520","Ленинский район",1910,0.0453640107456001,92
