"","region","year","value","age","ID_2","NAME_2"
"189","Анапский район",1977,1.46468466371887,25,29345,"Anapskiy rayon"
"190","Анапский район",1999,0.959972073539679,3,29345,"Anapskiy rayon"
"191","Анапский район",1914,0.107633232487782,88,29345,"Anapskiy rayon"
"192","Анапский район",1906,0.0145450314172679,96,29345,"Anapskiy rayon"
"193","Анапский район",1991,1.41377705375844,11,29345,"Anapskiy rayon"
"194","Анапский район",1923,0.357807772864789,79,29345,"Anapskiy rayon"
"195","Анапский район",1935,0.999243658366302,67,29345,"Anapskiy rayon"
"196","Анапский район",1951,1.34977891552246,51,29345,"Anapskiy rayon"
"197","Анапский район",1907,0.0101815219920875,95,29345,"Anapskiy rayon"
"198","Анапский район",1978,1.52141028624622,24,29345,"Anapskiy rayon"
"199","Анапский район",1950,1.4225040726088,52,29345,"Anapskiy rayon"
"200","Анапский район",1992,1.33668838724692,10,29345,"Anapskiy rayon"
"201","Апшеронский район",1924,0.678550633761813,78,29346,"Apsheronskiy rayon"
"202","Апшеронский район",1910,0.0604649079589734,92,29346,"Apsheronskiy rayon"
"203","Апшеронский район",1939,1.40412952926949,63,29346,"Apsheronskiy rayon"
"204","Апшеронский район",1931,0.874501724369597,71,29346,"Apsheronskiy rayon"
"205","Апшеронский район",1903,NA,99,29346,"Apsheronskiy rayon"
"206","Апшеронский район",1911,0.0839790388319075,91,29346,"Apsheronskiy rayon"
"207","Апшеронский район",1912,0.113091772293635,90,29346,"Apsheronskiy rayon"
"208","Апшеронский район",1965,1.1241993998298,37,29346,"Apsheronskiy rayon"
"209","Апшеронский район",1952,1.50826353742106,50,29346,"Apsheronskiy rayon"
"210","Апшеронский район",1904,0.0123169256953464,98,29346,"Apsheronskiy rayon"
"211","Апшеронский район",1973,1.16898822054015,29,29346,"Apsheronskiy rayon"
"212","Апшеронский район",2000,1.021185112196,2,29346,"Apsheronskiy rayon"
"213","Апшеронский район",1925,0.773726877771308,77,29346,"Apsheronskiy rayon"
"214","Апшеронский район",1926,0.979755453038922,76,29346,"Apsheronskiy rayon"
"215","Апшеронский район",1993,1.07605141756618,9,29346,"Apsheronskiy rayon"
"216","Апшеронский район",1979,1.31903076991983,23,29346,"Apsheronskiy rayon"
"217","Апшеронский район",1945,0.640480136158015,57,29346,"Apsheronskiy rayon"
"218","Апшеронский район",1917,0.175796121288126,85,29346,"Apsheronskiy rayon"
"219","Апшеронский район",1914,0.138845344202087,88,29346,"Apsheronskiy rayon"
"220","Апшеронский район",1938,1.51722130156313,64,29346,"Apsheronskiy rayon"
"221","Апшеронский район",1966,1.17794598468222,36,29346,"Apsheronskiy rayon"
"222","Апшеронский район",1913,0.117570654364671,89,29346,"Apsheronskiy rayon"
