"","region","year","value","age"
"324","г. Городец",1908,0.0346118750196658,94
"325","г. Кстово",1908,0.0136661807580175,94
"326","г. Нижний Новгород",1908,0.0203541312764948,94
"327","Городецкий район",1908,0.0170202231196522,94
"328","г. Павлово",1908,0.0170096955264501,94
"329","г. Саров",1908,0.0117064490827997,94
"330","Дальнеконстантиновский район",1908,0.0283469668745444,94
"331","Дивеевский район",1908,NA,94
"332","Княгининский район",1908,NA,94
"333","Ковернинский район",1908,0.0421269425201273,94
"334","Краснобаковский район",1908,0.0353247670773171,94
"335","Краснооктябрьский район",1908,NA,94
"336","Кстовский район",1908,0.0171906225154178,94
"337","Кулебакский район",1908,0.0226641736075698,94
"338","Лукояновский район",1908,0.0204081632653061,94
"339","Лысковский район",1908,0.0211505922165821,94
"340","Навашинский район",1908,0.0544780998038788,94
"341","Павловский район",1908,0.0138802137552918,94
"342","Первомайский район",1908,NA,94
"343","Перевозский район",1908,0.0671140939597315,94
"344","Пильнинский район",1908,0.0395741818037912,94
"345","Починковский район",1908,0.041591158907935,94
"346","Сельские населенные пункты, подчиненные администрации г. Дзержинска",1908,0.0138631296951985,94
"347","Сельские населенные пункты, подчиненные администрации г. Кулебаки",1908,0.0204886544076218,94
"348","Семеновский район",1908,0.0360288230584468,94
"349","Сергачский район",1908,0.0364115060359073,94
"350","Сеченовский район",1908,0.0339885571857475,94
"351","Сокольский район",1908,0.0310462589257994,94
"352","Сосновский район",1908,0.0275014896640235,94
"353","Спасский район",1908,0.0670990829791993,94
"354","Тонкинский район",1908,NA,94
"355","Тоншаевский район",1908,NA,94
"356","Уренский район",1908,0.0250878073256397,94
"357","Чкаловский район",1908,0.0236705065488401,94
"358","Шарангский район",1908,NA,94
"359","Шатковский район",1908,0.0497866287339971,94
"360","Шахунский район",1908,0.0226413385559354,94
"361","Ардатовский район",1909,0.0366190618862146,93
"362","Арзамасский район",1909,0.0283372569535269,93
"363","Балахнинский район",1909,0.0266605728214503,93
"364","Богородский район",1909,0.0623932746617628,93
"365","Большеболдинский район",1909,0.0768285187461586,93
"366","Большемурашкинский район",1909,0.0727860897695107,93
"367","Борский район",1909,0.0454111272920875,93
"368","Бутурлинский район",1909,0.0429105621283639,93
"369","Вадский район",1909,0.0579374275782155,93
"370","Варнавинский район",1909,0.0764850854083454,93
"371","Вачский район",1909,0.0429110882251974,93
"372","Ветлужский район",1909,0.053450211128334,93
"373","Вознесенский район",1909,0.0457270602581039,93
"374","Володарский район",1909,0.0173621158631865,93
"375","Воротынский район",1909,0.0509188538628894,93
"376","Воскресенский район",1909,0.0280011200448018,93
"377","Выксунский район",1909,0.0305633850646925,93
"378","Гагинский район",1909,0.0996611520829181,93
"379","г. Арзамас",1909,0.0184680733182511,93
"380","г. Балахна",1909,0.0297979001244501,93
"381","г. Богородск",1909,0.0427740390099236,93
"382","г. Бор",1909,0.0150895312185635,93
"383","г. Выкса",1909,0.00974722204171811,93
"384","г. Городец",1909,0.028318806834272,93
"385","г. Кстово",1909,0.0106292517006803,93
"386","г. Нижний Новгород",1909,0.0282356181993481,93
"387","Городецкий район",1909,0.0216621021522846,93
"388","г. Павлово",1909,0.0402047348807002,93
"389","г. Саров",1909,0.0175596736241996,93
"390","Дальнеконстантиновский район",1909,0.0364461002672714,93
"391","Дивеевский район",1909,0.0694163244056227,93
"392","Княгининский район",1909,NA,93
"393","Ковернинский район",1909,0.0280846283467515,93
"394","Краснобаковский район",1909,NA,93
"395","Краснооктябрьский район",1909,0.0744158356898348,93
"396","Кстовский район",1909,0.0408277284741174,93
"397","Кулебакский район",1909,NA,93
"398","Лукояновский район",1909,0.0728862973760933,93
"399","Лысковский район",1909,0.0352509870276368,93
"400","Навашинский район",1909,0.0290549865620687,93
"401","Павловский район",1909,0.0485807481435214,93
"402","Первомайский район",1909,0.0539738226959924,93
"403","Перевозский район",1909,0.0559284116331096,93
"404","Пильнинский район",1909,0.0554038545253077,93
"405","Починковский район",1909,0.07129912955646,93
"406","Сельские населенные пункты, подчиненные администрации г. Дзержинска",1909,0.0247288259427865,93
"407","Сельские населенные пункты, подчиненные администрации г. Кулебаки",1909,0.0281718998104799,93
"408","Семеновский район",1909,0.0280224179343475,93
"409","Сергачский район",1909,0.0392123911155925,93
"410","Сеченовский район",1909,0.0339885571857475,93
"411","Сокольский район",1909,0.0496740142812791,93
"412","Сосновский район",1909,0.032085071274694,93
"413","Спасский район",1909,0.0670990829791993,93
"414","Тонкинский район",1909,NA,93
"415","Тоншаевский район",1909,0.0534283170080142,93
"416","Уренский район",1909,0.0219518314099348,93
"417","Чкаловский район",1909,0.0276155909736468,93
"418","Шарангский район",1909,0.0658231551232356,93
"419","Шатковский район",1909,0.0355618776671408,93
"420","Шахунский район",1909,0.0271696062671225,93
"421","Ардатовский район",1910,0.0432770731382536,92
"422","Арзамасский район",1910,0.0457755689249281,92
"423","Балахнинский район",1910,0.0457038391224863,92
"424","Богородский район",1910,0.072244844345199,92
"425","Большеболдинский район",1910,0.107559926244622,92
"426","Большемурашкинский район",1910,0.0808734330772341,92
"427","Борский район",1910,0.0375816225865552,92
"428","Бутурлинский район",1910,0.0429105621283639,92
"429","Вадский район",1910,0.0450624436719454,92
"430","Варнавинский район",1910,NA,92
"431","Вачский район",1910,0.0557844146927566,92
"432","Ветлужский район",1910,0.0427601689026672,92
"433","Вознесенский район",1910,0.0558886292043491,92
"434","Володарский район",1910,0.030865983756776,92
"435","Воротынский район",1910,0.0740637874369301,92
"436","Воскресенский район",1910,0.0800032001280051,92
"437","Выксунский район",1910,0.0509389751078208,92
"438","Гагинский район",1910,0.112949305693974,92
"439","г. Арзамас",1910,0.0258553026455515,92
"440","г. Балахна",1910,0.0333035354332089,92
"441","г. Богородск",1910,0.059883654613893,92
"442","г. Бор",1910,0.0385621353363289,92
"443","г. Выкса",1910,0.0243680551042953,92
"444","г. Городец",1910,0.0409049432050596,92
"445","г. Кстово",1910,0.0334062196307094,92
"446","г. Нижний Новгород",1910,0.0439220727545414,92
"447","Городецкий район",1910,0.0402296182828142,92
"448","г. Павлово",1910,0.0510290865793502,92
"449","г. Саров",1910,0.0257541879821594,92
"450","Дальнеконстантиновский район",1910,0.0445452336599984,92
"451","Дивеевский район",1910,0.0809857118065598,92
"452","Княгининский район",1910,0.0789515237644087,92
"453","Ковернинский район",1910,0.0468077139112526,92
"454","Краснобаковский район",1910,0.0574027465006403,92
"455","Краснооктябрьский район",1910,0.0520910849828844,92
"456","Кстовский район",1910,0.0365300728452629,92
"457","Кулебакский район",1910,0.0283302170094623,92
"458","Лукояновский район",1910,0.0932944606413994,92
"459","Лысковский район",1910,0.0658018424515886,92
"460","Навашинский район",1910,0.079901213045689,92
"461","Павловский район",1910,0.0786545446133204,92
"462","Первомайский район",1910,0.0449781855799937,92
"463","Перевозский район",1910,0.0727069351230425,92
"464","Пильнинский район",1910,0.150381890854407,92
"465","Починковский район",1910,0.0742699266213125,92
"466","Сельские населенные пункты, подчиненные администрации г. Дзержинска",1910,0.0382172764570337,92
"467","Сельские населенные пункты, подчиненные администрации г. Кулебаки",1910,0.0332940634123854,92
"468","Семеновский район",1910,0.0480384307445957,92
"469","Сергачский район",1910,0.0252079657171666,92
"470","Сеченовский район",1910,0.0963009120262845,92
"471","Сокольский район",1910,0.0807202732070785,92
"472","Сосновский район",1910,0.0458358161067058,92
"473","Спасский район",1910,0.0894654439722657,92
"474","Тонкинский район",1910,0.108685807444978,92
"475","Тоншаевский район",1910,0.0474918373404571,92
"476","Уренский район",1910,0.0250878073256397,92
"477","Чкаловский район",1910,0.0828467729209405,92
"478","Шарангский район",1910,0.0585094712206538,92
"479","Шатковский район",1910,0.103129445234708,92
"480","Шахунский район",1910,0.0452826771118709,92
"481","Ардатовский район",1911,0.0699091181464097,91
"482","Арзамасский район",1911,0.0675734588891795,91
"483","Балахнинский район",1911,0.0837903717245582,91
"484","Богородский район",1911,0.0952318402732169,91
"485","Большеболдинский район",1911,0.13060848186847,91
"486","Большемурашкинский район",1911,0.0889607763849575,91
"487","Борский район",1911,0.0720314432908974,91
