"","region","year","value","age","ID_2","NAME_2"
"1476","Пряжинский район",1941,0.957544993077988,61,29136,"Pryazhinskiy rayon"
"1477","Пряжинский район",1948,1.11905860636825,54,29136,"Pryazhinskiy rayon"
"1478","Пряжинский район",1978,1.38440239963083,24,29136,"Pryazhinskiy rayon"
"1479","Пряжинский район",1985,1.51707429626211,17,29136,"Pryazhinskiy rayon"
"1480","Пряжинский район",1906,NA,96,29136,"Pryazhinskiy rayon"
"1481","Пряжинский район",1964,1.38440239963083,38,29136,"Pryazhinskiy rayon"
"1482","Пряжинский район",1943,0.409552376557453,59,29136,"Pryazhinskiy rayon"
"1483","Пряжинский район",1967,1.27480387632672,35,29136,"Pryazhinskiy rayon"
"1484","Пряжинский район",1980,1.2921089063221,22,29136,"Pryazhinskiy rayon"
"1485","Пряжинский район",1973,1.16520535302261,29,29136,"Pryazhinskiy rayon"
"1486","Пряжинский район",1908,NA,94,29136,"Pryazhinskiy rayon"
"1487","Пряжинский район",1966,1.19404706968159,36,29136,"Pryazhinskiy rayon"
"1488","Пряжинский район",1945,0.594139363174896,57,29136,"Pryazhinskiy rayon"
"1489","Пряжинский район",1989,1.56322104291647,13,29136,"Pryazhinskiy rayon"
"1490","Пряжинский район",1982,1.18827872634979,20,29136,"Pryazhinskiy rayon"
"1491","Пряжинский район",1975,1.37863405629903,27,29136,"Pryazhinskiy rayon"
"1492","Пряжинский район",1961,1.81702814951546,41,29136,"Pryazhinskiy rayon"
"1493","Пряжинский район",1995,0.859483156437471,7,29136,"Pryazhinskiy rayon"
"1494","Пряжинский район",1954,1.99584679280111,48,29136,"Pryazhinskiy rayon"
"1495","Пряжинский район",1991,1.17097369635441,11,29136,"Pryazhinskiy rayon"
"1496","Пряжинский район",1949,1.58629441624365,53,29136,"Pryazhinskiy rayon"
"1497","Пряжинский район",1950,1.51707429626211,52,29136,"Pryazhinskiy rayon"
"1498","Пряжинский район",1970,1.22865712967236,32,29136,"Pryazhinskiy rayon"
"1499","Пряжинский район",1990,1.44785417628057,12,29136,"Pryazhinskiy rayon"
"1500","Пряжинский район",1955,1.90932164282418,47,29136,"Pryazhinskiy rayon"
"1501","Пряжинский район",1976,1.2921089063221,26,29136,"Pryazhinskiy rayon"
"1502","Пряжинский район",1986,1.69012459621597,16,29136,"Pryazhinskiy rayon"
"1503","Пряжинский район",1996,0.824873096446701,6,29136,"Pryazhinskiy rayon"
"1504","Пряжинский район",1971,1.14213197969543,31,29136,"Pryazhinskiy rayon"
"1505","Пряжинский район",1951,1.80549146285187,51,29136,"Pryazhinskiy rayon"
"1506","Пряжинский район",1968,1.08444854637748,34,29136,"Pryazhinskiy rayon"
"1507","Пряжинский район",1946,0.986386709736964,56,29136,"Pryazhinskiy rayon"
"1508","Пряжинский район",1987,1.87471158283341,15,29136,"Pryazhinskiy rayon"
"1509","Пряжинский район",1983,1.18827872634979,19,29136,"Pryazhinskiy rayon"
"1510","Пряжинский район",1992,1.0556068297185,10,29136,"Pryazhinskiy rayon"
"1511","Пряжинский район",1962,1.52284263959391,40,29136,"Pryazhinskiy rayon"
"1512","Пряжинский район",1969,1.03830179972312,33,29136,"Pryazhinskiy rayon"
"1513","Пряжинский район",1953,1.66705122288879,49,29136,"Pryazhinskiy rayon"
"1514","Пряжинский район",1997,0.761421319796954,5,29136,"Pryazhinskiy rayon"
"1515","Пряжинский район",1952,1.79972311952007,50,29136,"Pryazhinskiy rayon"
"1516","Пудожский район",1988,1.90694960985926,14,29137,"Pudozhskiy rayon"
"1517","Пудожский район",1919,0.156785531976956,83,29137,"Pudozhskiy rayon"
"1518","Пудожский район",1977,1.330853934223,25,29137,"Pudozhskiy rayon"
"1519","Пудожский район",1961,1.9762269379421,41,29137,"Pudozhskiy rayon"
"1520","Пудожский район",1960,1.94705753664406,42,29137,"Pudozhskiy rayon"
"1521","Пудожский район",1958,2.01268868956465,44,29137,"Pudozhskiy rayon"
"1522","Пудожский район",1993,1.19594545321957,9,29137,"Pudozhskiy rayon"
"1523","Пудожский район",1909,0.0437541019470575,93,29137,"Pudozhskiy rayon"
"1524","Пудожский район",1978,1.46211624006417,24,29137,"Pudozhskiy rayon"
"1525","Пудожский район",1923,0.247939911033326,79,29137,"Pudozhskiy rayon"
"1526","Пудожский район",1964,1.46576241522643,38,29137,"Pudozhskiy rayon"
"1527","Пудожский район",1959,2.03456574053818,43,29137,"Pudozhskiy rayon"
"1528","Пудожский район",1994,1.12666812513673,8,29137,"Pudozhskiy rayon"
"1529","Пудожский район",1972,1.28345365711369,30,29137,"Pudozhskiy rayon"
"1530","Пудожский район",1989,1.97258076277984,13,29137,"Pudozhskiy rayon"
"1531","Пудожский район",1924,0.368263691387734,78,29137,"Pudozhskiy rayon"
"1532","Пудожский район",1920,0.134908481003427,82,29137,"Pudozhskiy rayon"
"1533","Пудожский район",1910,0.036461751622548,92,29137,"Pudozhskiy rayon"
